clef Stat;Date De Vente;Designation Article;Total Qte VEndue;Total ca vente HT;Total Ca Vente TTC;
0000000000014;29/09/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;30/09/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;06/10/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;14/10/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;27/10/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;04/11/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;16/11/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;17/11/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;22/11/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;2;9.48;10;
0000000000014;24/11/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;25/11/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;01/12/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;08/12/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;2;9.48;10;
0000000000014;14/12/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;16/12/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000015;07/09/2017;CONFITURE D ABRICOT;1;4.03;4.25;
0000000000015;23/09/2017;CONFITURE D ABRICOT;1;3.87;4.08;
0000000000015;06/10/2017;CONFITURE D ABRICOT;1;3.87;4.08;
0000000000015;13/10/2017;CONFITURE D ABRICOT;1;3.87;4.08;
0000000000015;14/10/2017;CONFITURE D ABRICOT;1;3.87;4.08;
0000000000015;17/11/2017;CONFITURE D ABRICOT;1;3.87;4.08;
0000000000015;08/12/2017;CONFITURE D ABRICOT;1;3.87;4.08;
0000000000015;15/12/2017;CONFITURE D ABRICOT;2;7.74;8.16;
0000000000017;01/09/2017;VIN BLANC A L OMBRE DU MURIER;1;3.38;4.05;
0000000000017;02/09/2017;VIN BLANC A L OMBRE DU MURIER;2;6.76;8.1;
0000000000017;08/09/2017;VIN BLANC A L OMBRE DU MURIER;1;3.38;4.05;
0000000000017;09/09/2017;VIN BLANC A L OMBRE DU MURIER;2;6.76;8.1;
0000000000017;15/09/2017;VIN BLANC A L OMBRE DU MURIER;2;6.48;7.78;
0000000000017;16/09/2017;VIN BLANC A L OMBRE DU MURIER;2;6.48;7.78;
0000000000017;23/09/2017;VIN BLANC A L OMBRE DU MURIER;3;9.72;11.67;
0000000000017;29/09/2017;VIN BLANC A L OMBRE DU MURIER;1;3.24;3.89;
0000000000017;30/09/2017;VIN BLANC A L OMBRE DU MURIER;6;19.44;23.34;
0000000000017;06/10/2017;VIN BLANC A L OMBRE DU MURIER;1;3.24;3.89;
0000000000017;07/10/2017;VIN BLANC A L OMBRE DU MURIER;1;3.24;3.89;
0000000000017;13/10/2017;VIN BLANC A L OMBRE DU MURIER;1;3.24;3.89;
0000000000017;20/10/2017;VIN BLANC A L OMBRE DU MURIER;1;3.24;3.89;
0000000000017;21/10/2017;VIN BLANC A L OMBRE DU MURIER;2;6.48;7.78;
0000000000017;28/10/2017;VIN BLANC A L OMBRE DU MURIER;5;16.21;19.45;
0000000000017;03/11/2017;VIN BLANC A L OMBRE DU MURIER;3;9.72;11.67;
0000000000017;10/11/2017;VIN BLANC A L OMBRE DU MURIER;2;6.48;7.78;
0000000000017;11/11/2017;VIN BLANC A L OMBRE DU MURIER;1;3.24;3.89;
0000000000017;17/11/2017;VIN BLANC A L OMBRE DU MURIER;3;9.72;11.67;
0000000000017;23/11/2017;VIN BLANC A L OMBRE DU MURIER;1;3.24;3.89;
0000000000017;08/12/2017;VIN BLANC A L OMBRE DU MURIER;5;16.2;19.45;
0000000000017;14/12/2017;VIN BLANC A L OMBRE DU MURIER;1;3.24;3.89;
0000000000017;20/12/2017;VIN BLANC A L OMBRE DU MURIER;1;3.24;3.89;
0000000000017;22/12/2017;VIN BLANC A L OMBRE DU MURIER;4;12.96;15.56;
0000000000017;23/12/2017;VIN BLANC A L OMBRE DU MURIER;1;3.24;3.89;
0000000000017;31/12/2017;VIN BLANC A L OMBRE DU MURIER;1;3.24;3.89;
0000000000018;01/09/2017;VIN ROUGE COTE DU RHONE;7;28.89;34.65;
0000000000018;02/09/2017;VIN ROUGE COTE DU RHONE;8;33.03;39.6;
0000000000018;07/09/2017;VIN ROUGE COTE DU RHONE;2;8.25;9.9;
0000000000018;08/09/2017;VIN ROUGE COTE DU RHONE;2;8.26;9.9;
0000000000018;09/09/2017;VIN ROUGE COTE DU RHONE;5;20.64;24.75;
0000000000018;15/09/2017;VIN ROUGE COTE DU RHONE;8;31.68;38;
0000000000018;16/09/2017;VIN ROUGE COTE DU RHONE;3;11.88;14.25;
0000000000018;22/09/2017;VIN ROUGE COTE DU RHONE;4;15.84;19;
0000000000018;23/09/2017;VIN ROUGE COTE DU RHONE;2;7.92;9.5;
0000000000018;28/09/2017;VIN ROUGE COTE DU RHONE;1;3.96;4.75;
0000000000018;29/09/2017;VIN ROUGE COTE DU RHONE;3;11.88;14.25;
0000000000018;30/09/2017;VIN ROUGE COTE DU RHONE;2;7.92;9.5;
0000000000018;06/10/2017;VIN ROUGE COTE DU RHONE;4;15.84;19;
0000000000018;07/10/2017;VIN ROUGE COTE DU RHONE;2;7.92;9.5;
0000000000018;13/10/2017;VIN ROUGE COTE DU RHONE;1;-10.43;-12.52;
0000000000018;14/10/2017;VIN ROUGE COTE DU RHONE;3;11.88;14.25;
0000000000018;20/10/2017;VIN ROUGE COTE DU RHONE;7;27.72;33.25;
0000000000018;21/10/2017;VIN ROUGE COTE DU RHONE;2;7.92;9.5;
0000000000018;26/10/2017;VIN ROUGE COTE DU RHONE;2;7.92;9.5;
0000000000018;27/10/2017;VIN ROUGE COTE DU RHONE;9;35.64;42.75;
0000000000018;28/10/2017;VIN ROUGE COTE DU RHONE;6;23.76;28.5;
0000000000018;03/11/2017;VIN ROUGE COTE DU RHONE;2;7.92;9.5;
0000000000018;04/11/2017;VIN ROUGE COTE DU RHONE;1;3.96;4.75;
0000000000018;10/11/2017;VIN ROUGE COTE DU RHONE;2;7.92;9.5;
0000000000018;11/11/2017;VIN ROUGE COTE DU RHONE;3;11.88;14.25;
0000000000018;16/11/2017;VIN ROUGE COTE DU RHONE;1;3.96;4.75;
0000000000018;17/11/2017;VIN ROUGE COTE DU RHONE;3;11.88;14.25;
0000000000018;18/11/2017;VIN ROUGE COTE DU RHONE;4;15.84;19;
0000000000018;22/11/2017;VIN ROUGE COTE DU RHONE;1;3.96;4.75;
0000000000018;23/11/2017;VIN ROUGE COTE DU RHONE;1;3.96;4.75;
0000000000018;24/11/2017;VIN ROUGE COTE DU RHONE;1;3.96;4.75;
0000000000018;25/11/2017;VIN ROUGE COTE DU RHONE;1;3.96;4.75;
0000000000018;01/12/2017;VIN ROUGE COTE DU RHONE;3;11.88;14.25;
0000000000018;07/12/2017;VIN ROUGE COTE DU RHONE;7;27.72;33.25;
0000000000018;08/12/2017;VIN ROUGE COTE DU RHONE;8;31.68;38;
0000000000018;09/12/2017;VIN ROUGE COTE DU RHONE;2;7.92;9.5;
0000000000018;14/12/2017;VIN ROUGE COTE DU RHONE;12;47.51;57;
0000000000018;15/12/2017;VIN ROUGE COTE DU RHONE;6;23.76;28.5;
0000000000018;16/12/2017;VIN ROUGE COTE DU RHONE;3;11.88;14.25;
0000000000018;22/12/2017;VIN ROUGE COTE DU RHONE;4;15.84;19;
0000000000018;23/12/2017;VIN ROUGE COTE DU RHONE;1;3.96;4.75;
0000000000019;01/09/2017;VIN ROSE A L OMBRE DU MURIER;1;3.38;4.05;
0000000000019;08/09/2017;VIN ROSE A L OMBRE DU MURIER;1;3.38;4.05;
0000000000019;15/09/2017;VIN ROSE A L OMBRE DU MURIER;1;3.24;3.89;
0000000000019;16/09/2017;VIN ROSE A L OMBRE DU MURIER;1;3.24;3.89;
0000000000019;13/10/2017;VIN ROSE A L OMBRE DU MURIER;1;3.24;3.89;
0000000000019;03/11/2017;VIN ROSE A L OMBRE DU MURIER;2;6.48;7.78;
0000000000019;04/11/2017;VIN ROSE A L OMBRE DU MURIER;1;3.24;3.89;
0000000000019;24/11/2017;VIN ROSE A L OMBRE DU MURIER;1;3.24;3.89;
0000000000019;01/12/2017;VIN ROSE A L OMBRE DU MURIER;1;3.24;3.89;
0000000000019;02/12/2017;VIN ROSE A L OMBRE DU MURIER;1;3.24;3.89;
0000000000019;05/12/2017;VIN ROSE A L OMBRE DU MURIER;1;3.24;3.89;
0000000000019;30/12/2017;VIN ROSE A L OMBRE DU MURIER;1;3.24;3.89;
0000000000019;31/12/2017;VIN ROSE A L OMBRE DU MURIER;1;3.24;3.89;
0000000000021;01/09/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;1;1.69;1.78;
0000000000021;02/09/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;1;1.69;1.78;
0000000000021;08/09/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;3;5.07;5.34;
0000000000021;09/09/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;2;3.38;3.56;
0000000000021;16/09/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;2;3.24;3.42;
0000000000021;22/09/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;1;1.62;1.71;
0000000000021;23/09/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;1;1.62;1.71;
0000000000021;28/09/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;1;1.62;1.71;
0000000000021;30/09/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;2;3.24;3.42;
0000000000021;06/10/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;3;4.86;5.13;
0000000000021;14/10/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;1;1.62;1.71;
0000000000021;18/11/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;1;1.62;1.71;
0000000000021;15/12/2017;SEL DE TABLE DE L ILE DE NOIRMOUTIER;1;1.62;1.71;
0000000000022;30/09/2017;FLEUR DE SEL DE L ILE DE NOIRMOUTIER;1;4.44;4.68;
0000000000022;14/10/2017;FLEUR DE SEL DE L ILE DE NOIRMOUTIER;2;8.88;9.36;
0000000000022;10/11/2017;FLEUR DE SEL DE L ILE DE NOIRMOUTIER;1;4.44;4.68;
0000000000022;01/12/2017;FLEUR DE SEL DE L ILE DE NOIRMOUTIER;1;4.44;4.68;
0000000000023;23/09/2017;FLEUR DE SEL AUX HERBES DE PROVENCE;2;8.64;9.12;
0000000000023;07/10/2017;FLEUR DE SEL AUX HERBES DE PROVENCE;1;4.32;4.56;
0000000000023;20/10/2017;FLEUR DE SEL AUX HERBES DE PROVENCE;1;4.32;4.56;
0000000000024;01/09/2017;OEUF PLEIN AIR;103;23.4;24.72;
0000000000024;02/09/2017;OEUF PLEIN AIR;93;21.12;22.32;
0000000000024;08/09/2017;OEUF PLEIN AIR;167;37.98;40.08;
0000000000024;15/09/2017;OEUF PLEIN AIR;124;27.05;28.51;
0000000000024;16/09/2017;OEUF PLEIN AIR;109;23.79;25.07;
0000000000024;22/09/2017;OEUF PLEIN AIR;122;26.62;28.06;
0000000000024;23/09/2017;OEUF PLEIN AIR;167;36.44;38.41;
0000000000024;27/09/2017;OEUF PLEIN AIR;21;4.58;4.83;
0000000000024;28/09/2017;OEUF PLEIN AIR;4;0.87;0.92;
0000000000024;29/09/2017;OEUF PLEIN AIR;138;30.12;31.74;
0000000000024;30/09/2017;OEUF PLEIN AIR;48;10.48;11.04;
0000000000024;06/10/2017;OEUF PLEIN AIR;195;42.55;44.85;
0000000000024;07/10/2017;OEUF PLEIN AIR;78;17.03;17.94;
0000000000024;13/10/2017;OEUF PLEIN AIR;179;39.15;41.17;
0000000000024;14/10/2017;OEUF PLEIN AIR;73;15.93;16.79;
0000000000024;17/10/2017;OEUF PLEIN AIR;6;1.31;1.38;
0000000000024;20/10/2017;OEUF PLEIN AIR;97;21.17;22.31;
0000000000024;21/10/2017;OEUF PLEIN AIR;148;32.29;34.04;
0000000000024;26/10/2017;OEUF PLEIN AIR;12;2.62;2.76;
0000000000024;27/10/2017;OEUF PLEIN AIR;84;18.33;19.32;
0000000000024;28/10/2017;OEUF PLEIN AIR;94;20.52;21.62;
0000000000024;03/11/2017;OEUF PLEIN AIR;226;49.32;51.98;
0000000000024;04/11/2017;OEUF PLEIN AIR;160;34.89;36.8;
0000000000024;10/11/2017;OEUF PLEIN AIR;134;29.24;30.82;
0000000000024;11/11/2017;OEUF PLEIN AIR;126;27.5;28.98;
0000000000024;17/11/2017;OEUF PLEIN AIR;184;40.17;42.32;
0000000000024;18/11/2017;OEUF PLEIN AIR;272;59.36;62.56;
0000000000024;22/11/2017;OEUF PLEIN AIR;6;1.31;1.38;
0000000000024;23/11/2017;OEUF PLEIN AIR;90;19.66;20.7;
0000000000024;01/12/2017;OEUF PLEIN AIR;83;18.11;19.09;
0000000000024;02/12/2017;OEUF PLEIN AIR;216;47.14;49.68;
0000000000024;06/12/2017;OEUF PLEIN AIR;14;3.05;3.22;
0000000000024;07/12/2017;OEUF PLEIN AIR;42;9.17;9.66;
0000000000024;08/12/2017;OEUF PLEIN AIR;105;22.91;24.15;
0000000000024;09/12/2017;OEUF PLEIN AIR;57;12.43;13.11;
0000000000024;15/12/2017;OEUF PLEIN AIR;132;28.82;30.36;
0000000000024;16/12/2017;OEUF PLEIN AIR;99;21.64;22.77;
0000000000024;21/12/2017;OEUF PLEIN AIR;44;9.6;10.12;
0000000000024;22/12/2017;OEUF PLEIN AIR;18;3.93;4.14;
0000000000024;23/12/2017;OEUF PLEIN AIR;30;6.54;6.9;
0000000000024;31/12/2017;OEUF PLEIN AIR;42;9.17;9.66;
0000000000031;01/09/2017;POIVRON;5.105;18.91;19.93;
0000000000031;02/09/2017;POIVRON;4.695;17.37;18.3;
0000000000031;08/09/2017;POIVRON;8.025;29.64;31.26;
0000000000031;09/09/2017;POIVRON;1.485;5.48;5.79;
0000000000031;15/09/2017;POIVRON;8.325;29.59;31.24;
0000000000031;16/09/2017;POIVRON;4.585;16.31;17.2;
0000000000031;22/09/2017;POIVRON;4.115;14.61;15.42;
0000000000031;23/09/2017;POIVRON;5.575;19.81;20.91;
0000000000031;28/09/2017;POIVRON;1.09;3.87;4.08;
0000000000031;29/09/2017;POIVRON;5.665;18.9;19.92;
0000000000031;30/09/2017;POIVRON;3.65;12.48;13.15;
0000000000031;06/10/2017;POIVRON;5.04;17.94;18.93;
0000000000031;07/10/2017;POIVRON;2.985;10.61;11.18;
0000000000031;12/10/2017;POIVRON;0.68;2.42;2.55;
0000000000031;13/10/2017;POIVRON;1.835;6.52;6.89;
0000000000031;14/10/2017;POIVRON;3.925;13.97;14.74;
0000000000031;20/10/2017;POIVRON;2.44;8.67;9.14;
0000000000031;21/10/2017;POIVRON;1.155;4.1;4.33;
0000000000031;25/10/2017;POIVRON;0.27;0.96;1.01;
0000000000031;27/10/2017;POIVRON;2.43;8.65;9.12;
0000000000031;28/10/2017;POIVRON;1.485;5.29;5.58;
0000000000031;03/11/2017;POIVRON;3.65;12.98;13.69;
0000000000031;04/11/2017;POIVRON;1.175;4.16;4.4;
0000000000031;07/11/2017;POIVRON;0.08;0.28;0.3;
0000000000031;10/11/2017;POIVRON;3.395;12.07;12.73;
0000000000031;11/11/2017;POIVRON;0.525;1.87;1.97;
0000000000031;16/11/2017;POIVRON;2.34;8.35;8.81;
0000000000031;17/11/2017;POIVRON;2.075;7.37;7.78;
0000000000031;18/11/2017;POIVRON;3.105;11.06;11.68;
0000000000031;24/11/2017;POIVRON;0.215;0.77;0.81;
0000000000031;25/11/2017;POIVRON;0.325;0.99;1.04;
0000000000032;01/09/2017;HARICOTS BIO;6.01;34.18;36.06;
0000000000032;02/09/2017;HARICOTS BIO;13.476;76.64;80.85;
0000000000032;08/09/2017;HARICOTS BIO;2.195;12.46;13.14;
0000000000032;09/09/2017;HARICOTS BIO;7.03;39.98;42.18;
0000000000032;15/09/2017;HARICOTS BIO;3.1;16.91;17.84;
0000000000032;16/09/2017;HARICOTS BIO;2.38;12.98;13.7;
0000000000032;22/09/2017;HARICOTS BIO;1.66;9.07;9.56;
0000000000032;23/09/2017;HARICOTS BIO;2.19;11.95;12.61;
0000000000032;28/09/2017;HARICOTS BIO;0.205;1.12;1.18;
0000000000032;29/09/2017;HARICOTS BIO;3.085;16.84;17.77;
0000000000032;30/09/2017;HARICOTS BIO;1.965;10.74;11.33;
0000000000032;06/10/2017;HARICOTS BIO;0.88;4.8;5.07;
0000000000032;07/10/2017;HARICOTS BIO;1.785;9.76;10.29;
0000000000032;13/10/2017;HARICOTS BIO;1.795;9.82;10.36;
0000000000032;14/10/2017;HARICOTS BIO;0.37;2.02;2.13;
0000000000039;01/09/2017;RAISIN BIO;7.23;35.27;37.21;
0000000000039;08/09/2017;RAISIN BIO;7.055;34.42;36.32;
0000000000039;15/09/2017;RAISIN BIO;7.175;33.6;35.44;
0000000000039;22/09/2017;RAISIN BIO;7.02;32.88;34.68;
0000000000039;29/09/2017;RAISIN BIO;6.9;34.71;36.61;
0000000000039;30/09/2017;RAISIN BIO;0.655;3.29;3.47;
0000000000039;06/10/2017;RAISIN BIO;12.2;61.28;64.65;
0000000000039;13/10/2017;RAISIN BIO;11.7;58.76;61.99;
0000000000039;14/10/2017;RAISIN BIO;0.575;2.89;3.05;
0000000000039;20/10/2017;RAISIN BIO;7.33;38.18;40.27;
0000000000039;21/10/2017;RAISIN BIO;0.58;3.02;3.19;
0000000000042;27/10/2017;COULIS DE GROSEILLES;1;4.68;4.94;
0000000000042;17/11/2017;COULIS DE GROSEILLES;1;4.68;4.94;
0000000000042;18/11/2017;COULIS DE GROSEILLES;1;4.68;4.94;
0000000000042;09/12/2017;COULIS DE GROSEILLES;1;4.68;4.94;
0000000000042;23/12/2017;COULIS DE GROSEILLES;1;4.68;4.94;
0000000000043;10/11/2017;COULIS  DE PETITS FRUITS;1;4.68;4.94;
0000000000043;17/11/2017;COULIS  DE PETITS FRUITS;1;4.68;4.94;
0000000000043;16/12/2017;COULIS  DE PETITS FRUITS;1;4.68;4.94;
0000000000043;21/12/2017;COULIS  DE PETITS FRUITS;1;4.68;4.94;
0000000000043;23/12/2017;COULIS  DE PETITS FRUITS;1;4.68;4.94;
0000000000044;21/10/2017;COULIS DE FRAMBOISES;1;4.68;4.94;
0000000000044;28/10/2017;COULIS DE FRAMBOISES;1;4.68;4.94;
0000000000044;03/11/2017;COULIS DE FRAMBOISES;1;4.68;4.94;
0000000000044;11/11/2017;COULIS DE FRAMBOISES;1;4.68;4.94;
