clef Stat;Date De Vente;Designation Article;Total Qte VEndue;Total ca vente HT;Total Ca Vente TTC;
0000000000001;02/09/2017;BIERE ECHEC & MALT 33CL;1;2.08;2.5;
0000000000001;08/09/2017;BIERE ECHEC & MALT 33CL;2;4.16;5;
0000000000001;09/09/2017;BIERE ECHEC & MALT 33CL;1;2.08;2.5;
0000000000001;23/09/2017;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;29/09/2017;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;30/09/2017;BIERE ECHEC & MALT 33CL;4;8;9.6;
0000000000001;14/10/2017;BIERE ECHEC & MALT 33CL;3;6;7.2;
0000000000001;21/10/2017;BIERE ECHEC & MALT 33CL;6;12;14.4;
0000000000001;28/10/2017;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;03/11/2017;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;04/11/2017;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;17/11/2017;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;18/11/2017;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;30/11/2017;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;01/12/2017;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;07/12/2017;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;09/12/2017;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;15/12/2017;BIERE ECHEC & MALT 33CL;2;4;4.8;
0000000000001;16/12/2017;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000001;22/12/2017;BIERE ECHEC & MALT 33CL;1;2;2.4;
0000000000002;01/09/2017;BIERE MALTOBARBAR 33CL;5;10.42;12.5;
0000000000002;02/09/2017;BIERE MALTOBARBAR 33CL;3;6.25;7.5;
0000000000002;09/09/2017;BIERE MALTOBARBAR 33CL;9;18.73;22.5;
0000000000002;15/09/2017;BIERE MALTOBARBAR 33CL;3;6;7.2;
0000000000002;22/09/2017;BIERE MALTOBARBAR 33CL;3;6;7.2;
0000000000002;23/09/2017;BIERE MALTOBARBAR 33CL;3;6;7.2;
0000000000002;29/09/2017;BIERE MALTOBARBAR 33CL;2;4;4.8;
0000000000002;30/09/2017;BIERE MALTOBARBAR 33CL;5;10;12;
0000000000002;06/10/2017;BIERE MALTOBARBAR 33CL;2;4;4.8;
0000000000002;13/10/2017;BIERE MALTOBARBAR 33CL;2;4;4.8;
0000000000002;14/10/2017;BIERE MALTOBARBAR 33CL;5;10;12;
0000000000002;20/10/2017;BIERE MALTOBARBAR 33CL;1;2;2.4;
0000000000002;21/10/2017;BIERE MALTOBARBAR 33CL;2;4;4.8;
0000000000002;28/10/2017;BIERE MALTOBARBAR 33CL;2;4;4.8;
0000000000002;03/11/2017;BIERE MALTOBARBAR 33CL;2;4;4.8;
0000000000002;04/11/2017;BIERE MALTOBARBAR 33CL;1;2;2.4;
0000000000002;17/11/2017;BIERE MALTOBARBAR 33CL;2;4;4.8;
0000000000002;18/11/2017;BIERE MALTOBARBAR 33CL;2;4;4.8;
0000000000002;23/11/2017;BIERE MALTOBARBAR 33CL;1;2;2.4;
0000000000002;24/11/2017;BIERE MALTOBARBAR 33CL;2;4;4.8;
0000000000002;30/11/2017;BIERE MALTOBARBAR 33CL;3;6;7.2;
0000000000002;01/12/2017;BIERE MALTOBARBAR 33CL;1;2;2.4;
0000000000002;04/12/2017;BIERE MALTOBARBAR 33CL;1;2;2.4;
0000000000002;07/12/2017;BIERE MALTOBARBAR 33CL;1;2;2.4;
0000000000002;08/12/2017;BIERE MALTOBARBAR 33CL;2;4;4.8;
0000000000002;09/12/2017;BIERE MALTOBARBAR 33CL;1;2;2.4;
0000000000002;16/12/2017;BIERE MALTOBARBAR 33CL;2;4;4.8;
0000000000002;21/12/2017;BIERE MALTOBARBAR 33CL;3;6;7.2;
0000000000002;23/12/2017;BIERE MALTOBARBAR 33CL;5;10;12;
0000000000002;31/12/2017;BIERE MALTOBARBAR 33CL;4;8;9.6;
0000000000003;22/09/2017;SAVON MIEL ET NOIX;3;9.72;11.67;
0000000000003;29/09/2017;SAVON MIEL ET NOIX;1;3.24;3.89;
0000000000003;07/10/2017;SAVON MIEL ET NOIX;5;16.21;19.45;
0000000000003;27/10/2017;SAVON MIEL ET NOIX;4;12.96;15.56;
0000000000003;17/11/2017;SAVON MIEL ET NOIX;10;32.42;38.9;
0000000000003;18/11/2017;SAVON MIEL ET NOIX;1;3.24;3.89;
0000000000003;25/11/2017;SAVON MIEL ET NOIX;1;3.24;3.89;
0000000000003;01/12/2017;SAVON MIEL ET NOIX;1;3.24;3.89;
0000000000003;02/12/2017;SAVON MIEL ET NOIX;7;22.69;27.23;
0000000000004;15/09/2017;SAVON NATURE;5;16.2;19.45;
0000000000004;16/09/2017;SAVON NATURE;1;3.24;3.89;
0000000000004;22/09/2017;SAVON NATURE;2;6.48;7.78;
0000000000004;29/09/2017;SAVON NATURE;1;3.24;3.89;
0000000000004;20/10/2017;SAVON NATURE;1;3.24;3.89;
0000000000004;28/10/2017;SAVON NATURE;1;3.24;3.89;
0000000000004;03/11/2017;SAVON NATURE;1;3.24;3.89;
0000000000004;24/11/2017;SAVON NATURE;2;6.48;7.78;
0000000000004;15/12/2017;SAVON NATURE;2;6.48;7.78;
0000000000004;22/12/2017;SAVON NATURE;1;3.24;3.89;
0000000000004;23/12/2017;SAVON NATURE;2;6.48;7.78;
0000000000006;02/09/2017;SAVON PROVENCE;1;3.38;4.05;
0000000000006;09/09/2017;SAVON PROVENCE;1;3.38;4.05;
0000000000006;16/09/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;23/09/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;28/09/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;29/09/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;30/09/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;06/10/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;14/10/2017;SAVON PROVENCE;5;16.2;19.45;
0000000000006;21/10/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;28/10/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;03/11/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;24/11/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;02/12/2017;SAVON PROVENCE;2;6.48;7.78;
0000000000006;07/12/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;08/12/2017;SAVON PROVENCE;1;3.24;3.89;
0000000000006;09/12/2017;SAVON PROVENCE;3;9.72;11.67;
0000000000006;15/12/2017;SAVON PROVENCE;2;6.48;7.78;
0000000000007;16/09/2017;SAVON BLANC LAVANDIN LIQUIDE;1;8.4;10.08;
0000000000007;06/10/2017;SAVON BLANC LAVANDIN LIQUIDE;1;8.4;10.08;
0000000000007;21/10/2017;SAVON BLANC LAVANDIN LIQUIDE;1;8.4;10.08;
0000000000007;10/11/2017;SAVON BLANC LAVANDIN LIQUIDE;1;8.4;10.08;
0000000000007;23/11/2017;SAVON BLANC LAVANDIN LIQUIDE;1;8.4;10.08;
0000000000007;15/12/2017;SAVON BLANC LAVANDIN LIQUIDE;1;8.4;10.08;
0000000000008;01/09/2017;SAVON DE MENAGE;1;5.88;7.05;
0000000000008;02/09/2017;SAVON DE MENAGE;1;5.88;7.05;
0000000000008;09/09/2017;SAVON DE MENAGE;1;5.88;7.05;
0000000000008;24/11/2017;SAVON DE MENAGE;1;5.64;6.77;
0000000000008;22/12/2017;SAVON DE MENAGE;1;5.64;6.77;
0000000000009;01/09/2017;SAVON DETACHANT;8;27.03;32.4;
0000000000009;08/09/2017;SAVON DETACHANT;3;10.14;12.15;
0000000000009;09/09/2017;SAVON DETACHANT;2;6.76;8.1;
0000000000009;16/09/2017;SAVON DETACHANT;1;3.24;3.89;
0000000000009;22/09/2017;SAVON DETACHANT;1;3.24;3.89;
0000000000009;30/09/2017;SAVON DETACHANT;1;3.24;3.89;
0000000000009;07/10/2017;SAVON DETACHANT;2;6.48;7.78;
0000000000009;14/10/2017;SAVON DETACHANT;2;6.48;7.78;
0000000000014;01/09/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;2;9.48;10;
0000000000014;02/09/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;07/09/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
0000000000014;08/09/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;3;14.22;15;
0000000000014;23/09/2017;CONFITURE DE FRAMBOISES BOUCHE BAIE;1;4.74;5;
